version, date, compounds, activities, assays, targets, documents
X, 1964-01-01, 0, 0, 0, 0, 0
ChEMBL3, 2010-04-18, 547133, 2490742, 432022, 7330, 34982
ChEMBL4, 2010-05-18, 565245, 2705136, 446645, 7330, 35821
ChEMBL5, 2010-06-24, 578715, 2787240, 459823, 7493, 36624
ChEMBL6, 2010-08-27, 600625, 2925588, 481752, 8054, 38029
ChEMBL7, 2010-09-29, 602500, 2948069, 485095, 8078, 38204
ChEMBL8, 2010-10-26, 636269, 2973034, 488898, 8088, 38462
ChEMBL9, 2011-01-20, 658075, 3030317, 499867, 8091, 39094
ChEMBL10, 2011-05-26, 1000468, 4668202, 534391, 8372, 40624
ChEMBL11, 2011-08-01, 1060258, 5479146, 582982, 8603, 42516
ChEMBL12, 2011-11-18, 1077189, 5654847, 596122, 8703, 43418
ChEMBL13, 2012-02-21, 1143682, 6933068, 617681, 8845, 44682
ChEMBL14, 2012-06-27, 1213242, 10129256, 644734, 9003, 46133
ChEMBL15, 2013-01-23, 1254575, 10509572, 679259, 9570, 48735
ChEMBL16, 2013-05-07, 1295510, 11420351, 712836, 9844, 50095
ChEMBL17, 2013-08-29, 1324941, 12077491, 734201, 9356, 51277
ChEMBL18, 2014-03-12, 1359508, 12419715, 1042374, 9414, 53298
ChEMBL19, 2014-07-03, 1411786, 12843338, 1106285, 10579, 57156
ChEMBL20, 2015-01-14, 1463270, 13520737, 1148942, 10774, 59610
ChEMBL21, 2016-02-01, 1592191, 13968617, 1212831, 11019, 62502
ChEMBL22.1, 2016-11-08, 1686695, 14371197, 1246683, 11224, 65213
ChEMBL23, 2017-05-01, 1735442, 14675320, 1302147, 11538, 67722
ChEMBL24.1, 2018-04-23, 1828820, 15207914, 1060283, 12091, 69861
ChEMBL25, 2018-12-10, 1879206, 15504603, 1125387, 12482, 72271
ChEMBL26, 2020-01-10, 1950765, 15996368, 1221311, 13377, 76076
ChEMBL27, 2020-05-18, 1961462, 16066124, 1221361, 13382, 76086
ChEMBL28, 2021-01-15, 2086898, 17276334, 1358549, 14347, 80480
ChEMBL29, 2021-07-01, 2105464, 18635916, 1383553, 14554, 81544
ChEMBL30, 2022-02-22, 2157379, 19286751, 1458215, 14855, 84092
