Year, Structures, Ave. No. Atoms per Structure
1964, 4007, n/a
1965, 655, 19
1966, 690, 21
1967, 939, 20
1968, 977, 23
1969, 1131, 25
1970, 1266, 27
1971, 1548, 28
1972, 1979, 30
1973, 1994, 31
1974, 2144, 33
1975, 2175, 33
1976, 2739, 35
1977, 3096, 37
1978, 3422, 36
1979, 3880, 37
1980, 4255, 38
1981, 4667, 40
1982, 5236, 43
1983, 5251, 44
1984, 6511, 46
1985, 6919, 47
1986, 6875, 47
1987, 7475, 49
1988, 7657, 50
1989, 7755, 52
1990, 8951, 54
1991, 9945, 55
1992, 10714, 56
1993, 12070, 58
1994, 12283, 59
1995, 13008, 61
1996, 15564, 64
1997, 15935, 67
1998, 17341, 69
1999, 18853, 69
2000, 20056, 73
2001, 21852, 73
2002, 24435, 74
2003, 26406, 74
2004, 28190, 74
2005, 31867, 74
2006, 34892, 74
2007, 36834, 75
2008, 37243, 76
2009, 41421, 76
2010, 42315, 77
2011, 44838, 78
2012, 47996, 78
2013, 48752, 80
2014, 51649, 81
2015, 54774, 82
2016, 56314, 82
2017, 58828, 83
2018, 57234, 84
2019, 57878, 85
2020, 62934, 86
2021, 53280, 89
2022, 1198, 78
