year-month, sources count
1964-01, 0
2005-01, 0
2005-02, 0
2005-03, 0
2005-04, 0
2005-05, 0
2005-06, 0
2005-07, 0
2005-08, 0
2005-09, 2
2005-10, 4
2005-11, 4
2005-12, 6
2006-01, 8
2006-02, 10
2006-03, 11
2006-04, 13
2006-05, 15
2006-06, 16
2006-07, 17
2006-08, 19
2006-09, 19
2006-10, 19
2006-11, 19
2006-12, 19
2007-01, 19
2007-02, 19
2007-03, 20
2007-04, 20
2007-05, 20
2007-06, 20
2007-07, 20
2007-08, 20
2007-09, 21
2007-10, 21
2007-11, 21
2007-12, 22
2008-01, 22
2008-02, 23
2008-03, 23
2008-04, 23
2008-05, 24
2008-06, 24
2008-07, 24
2008-08, 25
2008-09, 26
2008-10, 26
2008-11, 26
2008-12, 26
2009-01, 27
2009-02, 27
2009-03, 29
2009-04, 30
2009-05, 30
2009-06, 30
2009-07, 30
2009-08, 31
2009-09, 33
2009-10, 33
2009-11, 33
2009-12, 33
2010-01, 34
2010-02, 34
2010-03, 35
2010-04, 36
2010-05, 38
2010-06, 39
2010-07, 39
2010-08, 39
2010-09, 39
2010-10, 39
2010-11, 39
2010-12, 40
2011-01, 40
2011-02, 41
2011-03, 41
2011-04, 41
2011-05, 41
2011-06, 41
2011-07, 41
2011-08, 41
2011-09, 41
2011-10, 41
2011-11, 43
2011-12, 43
2012-01, 43
2012-02, 44
2012-03, 44
2012-04, 46
2012-05, 46
2012-06, 46
2012-07, 46
2012-08, 46
2012-09, 46
2012-10, 46
2012-11, 46
2012-12, 46
2013-01, 47
2013-02, 48
2013-03, 48
2013-04, 51
2013-05, 51
2013-06, 52
2013-07, 52
2013-08, 52
2013-09, 52
2013-10, 54
2013-11, 55
2013-12, 57
2014-01, 57
2014-02, 58
2014-03, 60
2014-04, 60
2014-05, 61
2014-06, 61
2014-07, 61
2014-08, 61
2014-09, 61
2014-10, 61
2014-11, 61
2014-12, 61
2015-01, 61
2015-02, 61
2015-03, 63
2015-04, 63
2015-05, 63
2015-06, 63
2015-07, 64
2015-08, 64
2015-09, 67
2015-10, 67
2015-11, 68
2015-12, 70
2016-01, 70
2016-02, 70
2016-03, 72
2016-04, 73
2016-05, 74
2016-06, 74
2016-07, 77
2016-08, 79
2016-09, 80
2016-10, 83
2016-11, 84
2016-12, 85
2017-01, 86
2017-02, 86
2017-03, 87
2017-04, 87
2017-05, 89
2017-06, 91
2017-07, 91
2017-08, 91
2017-09, 91
2017-10, 91
2017-11, 92
2017-12, 93
2018-01, 93
2018-02, 93
2018-03, 93
2018-04, 94
2018-05, 98
2018-06, 98
2018-07, 98
2018-08, 100
2018-09, 101
2018-10, 101
2018-11, 102
2018-12, 102
2019-01, 103
2019-02, 104
2019-03, 105
2019-04, 105
2019-05, 105
2019-06, 105
2019-07, 105
2019-08, 107
2019-09, 107
2019-10, 108
2019-11, 110
2019-12, 111
2020-01, 112
2020-02, 112
2020-03, 112
2020-04, 112
2020-05, 114
2020-06, 115
2020-07, 115
2020-08, 115
2020-09, 115
2020-10, 116
2020-11, 116
2020-12, 116
2021-01, 117
2021-02, 118
2021-03, 118
2021-04, 119
2021-05, 121
2021-06, 121
2021-07, 121
2021-08, 122
2021-09, 125
2021-10, 125
2021-11, 126
2021-12, 126
2022-01, 126
2022-02, 126
2022-03, 127
2022-04, 127
2022-05, 127
2022-06, 127
2022-07, 127
